timestamp,P_mpp_original,P_pv,P_pv_setpoint,ghi,temp,dispo_pv,wind_speed,Ppv_dc_mpp_th,P_mpp
2021-11-01 14:30:00+00:00,70.72476324,78.09728891,247.16,350.8780557,37.51740738,100.0,0,62.30853216209022,62.30853216209022
2021-11-01 14:45:00+00:00,50.95312593,50.84450281,247.16,243.8709261,34.86361109,100.0,0,44.97328999185559,44.97328999185559
2021-11-01 15:00:00+00:00,34.40856835,35.2945731,247.16,162.5449999,33.3625926,100.0,0,30.341929830102487,30.341929830102487
2021-11-01 15:15:00+00:00,29.02205199,30.43480832,247.16,136.0118519,31.57518516,100.0,0,25.590558813299072,25.590558813299072
2021-11-01 15:30:00+00:00,34.74207757,34.15949358,247.16,163.5248148,31.79759258,100.0,0,30.684895147017112,30.684895147017112
2021-11-01 15:45:00+00:00,22.61679564,23.97158704,247.16,106.0027778,30.81574074,100.0,0,19.940350472397697,19.940350472397697
2021-11-01 16:00:00+00:00,24.87609268,26.39327404,247.16,116.0258334,29.53157407,100.0,0,21.948476162453485,21.948476162453485
2021-11-01 16:15:00+00:00,24.961783,26.78658146,247.16,116.3875927,28.66314814,100.0,0,22.04961271997768,22.04961271997768
2021-11-01 16:30:00+00:00,22.33450683,24.10089903,247.16,104.0842593,27.74555552,100.0,0,19.746692574760146,19.746692574760146
2021-11-01 16:45:00+00:00,22.87928929,23.77901388,247.16,107.8389814,27.87370368,100.0,0,20.285825907589683,20.285825907589683
2021-11-01 17:00:00+00:00,19.24788067,19.95693986,247.16,91.32935169,27.42694443,100.0,0,17.116127260298978,17.116127260298978
2021-11-01 17:15:00+00:00,11.89848303,11.8874491,247.16,55.88101856,26.49842591,100.0,0,10.535491292264552,10.535491292264552
2021-11-01 17:30:00+00:00,9.755210062,9.449213897,247.16,46.36712966,25.38925927,100.0,0,8.725836633468779,8.725836633468779
2021-11-01 17:45:00+00:00,3.522300279,3.350816677,247.16,17.20444446,24.86175924,100.0,0,3.09829811900177,3.09829811900177
2021-11-01 18:00:00+00:00,1.432294449,1.223782405,247.16,7.289999995,24.17250002,100.0,0,1.259009631209765,1.259009631209765
2021-11-01 18:15:00+00:00,0.143012428,-0.05555,247.16,0.787685185,23.73092593,100.0,0,0.11925569196046637,0.11925569196046637
2021-11-01 18:30:00+00:00,0.0,-0.222364816,73.71864814,0.0,22.21333332,29.81481482,0,0.0,0.0
2021-11-01 18:45:00+00:00,0.0,-0.190336112,243.72475,0.0,21.72425922,98.61111111,0,0.0,0.0
2021-11-01 19:00:00+00:00,0.0,-0.189187964,247.16,0.0,21.65685183,100.0,0,0.0,0.0
2021-11-01 19:15:00+00:00,0.0,-0.167175927,247.16,0.0,21.4923148,100.0,0,0.0,0.0
